STT;TenNgoaite;Ngoaite;TyGiaNgoaiTe-VND;Thang;Nam
74;ICELAND KRONA;ISK;174;11;2023
75;JAMACAN DOLLAR;JMD;158;11;2023
76;JORDANIAN DINAR;JOD;33923;11;2023
77;YEN;JPY;161;11;2023
78;KENYAN SHILING;KES;160;11;2023
79;SOM;KGS;270;11;2023
80;COMORO FRANC;KMF;52;11;2023
81;NORTH KOREAN WON;KPW;185;11;2023
82;WON;KRW;18;11;2023
83;KUWAITI DINAR;KWD;77694;11;2023
84;CAYMAN ISLANDS DOLLAR;KYD;29018;11;2023
85;TENGE;KZT;51;11;2023
86;RIEL;KHR;6;11;2023
87;KIP;LAK;1;11;2023
88;LIBIAN POUND;LBP;2;11;2023
89;SRILANCA RUPEE;LKR;74;11;2023
90;LIBERIAN DOLLAR;LRD;128;11;2023
91;LOTI;LSL;1280;11;2023
92;LITHUANIAN LITAS;LTL;8451;11;2023
93;LUXEMBOURG FRANC;LUF;527;11;2023
94;LEBANESE DINAR;LYD;4935;11;2023
95;MOROCCAN DIRHAM;MAD;2343;11;2023
96;MOLDOVAN LEU;MDL;1334;11;2023
97;MALAGASY ARIARY;MGA;5;11;2023
98;DENAR;MKD;418;11;2023
99;KYAT;MMK;12;11;2023
100;TUGRIK;MNT;7;11;2023
101;PATACA;MOP;2990;11;2023
102;OUGUIYA;MRO;68;11;2023
103;MAURITUS RUPEE;MUR;546;11;2023
104;RUFIYAA;MVR;1562;11;2023
105;KWACHA;MWK;21;11;2023
106;MAXICAN PESO;MXN;1335;11;2023
107;MEXUNIDAD DE INVERSIOR;MXV;10564;11;2023
108;MALAYSIAN RINGGIT;MYR;5085;11;2023
109;MOZAMBICAN METICAL;MZN;381;11;2023
110;NAMIBIA DOLLAR;NAD;1279;11;2023
111;CORDOBA ORO;NIO;665;11;2023
112;NORWEGIAN KRONE;NOK;2202;11;2023
113;NEPALESE RUPEE;NPR;181;11;2023
114;NEWZELAND DOLLAR;NZD;14263;11;2023
115;NAIRA;NGN;31;11;2023
116;RIAL OMANI;OMR;63382;11;2023
117;BALBOA;PAB;24085;11;2023
118;NUEVO SOL;PEN;6322;11;2023
119;KINA;PGK;6305;11;2023
120;PAKISTAN RUPEE;PKR;86;11;2023
121;ZLOTY;PLN;5611;11;2023
122;GUARANI;PYG;3;11;2023
123;PHILIPINE PESO;PHP;425;11;2023
124;QATARI RIAL;QAR;6599;11;2023
125;RÚP CHUYỂN NHƯỢNG;RCN;24085;11;2023
126;LEU;RON;5157;11;2023
127;RUSSIAN RUBLE (NEW);RUB;247;11;2023
128;RWANDA FRANC;RWF;20;11;2023
129;SAUDI RYAL;SAR;6423;11;2023
130;SOLOMON ISLANDS DOLLAR;SBD;2697;11;2023
131;SEYCHELLESS RUPEE;SCR;1784;11;2023
132;SUDANESE DINAR;SDD;120;11;2023
133;SDR;SDR;0;11;2023
134;SWEDISH KRONA;SEK;2190;11;2023
135;SINGAPORE DOLLAR;SGD;17594;11;2023
136;ST HELENA POUND;SHP;19905;11;2023
137;SLOVAKKORUNA;SKK;1118;11;2023
138;LEONE;SLL;1;11;2023
139;SOMA SHILING;SOS;42;11;2023
140;SURINAME DOLLAR;SRD;637;11;2023
141;DOBRA;STD;1;11;2023
142;EL SALVADOR COLON;SVC;2753;11;2023
143;SYRIAN POUND;SYP;2;11;2023
144;LILANGENI;SZL;1279;11;2023
145;TAJIKISTANI SOMONI;TJS;2200;11;2023
146;MANAT;TMM;2;11;2023
147;TUNISIAN DINAR;TND;7598;11;2023
148;PAANGA;TOP;9791;11;2023
149;TRINIDAD &TOBACO DOLLAR;TTD;3573;11;2023
150;NEW TAIWAN DOLLAR;TWD;746;11;2023
151;TANZANIAN SHILLING;TZS;10;11;2023
152;BAHT;THB;659;11;2023
153;NEW TURKISH LIRA;TRY;868;11;2023
154;HRYVNIA;UAH;663;11;2023
155;UGANDA SHILING;UGX;6;11;2023
156;RUP XO VIET;USR;262;11;2023
157;PESO URUGUAYO;UYU;603;11;2023
158;UZBEKISTAN SUM;UZS;2;11;2023
159;BOLIVAR;VEF;0;11;2023
160;VATU;VUV;199;11;2023
161;TALA;WST;8392;11;2023
162;CFA FRANC BEAC;XAF;39;11;2023
163;EAST CARIBEAN DOLLAR;XCD;8920;11;2023
164;CFA FRANC BEAC;XAF;39;11;2023
165;CFP FRANC;XPF;215;11;2023
166;YEMENI RIAL;YER;96;11;2023
167;RAND;ZAD;1279;11;2023
168;RAND;ZAR;1280;11;2023
169;KWACHA;ZMK;5;11;2023
;ĐÔLA Mỹ ;USD; 24085;11;2023
1;UAE DIRHAM;AED;6537;10;2023
2;AFGHAN AFGHANI;AFN;309;10;2023
3;LEK;ALL;239;10;2023
4;ARMENIAN DRAM;AMD;62;10;2023
5;NETHANTILLIAN GUILDER;ANG;13497;10;2023
6;ANGOLAN KWANZA;AOA;29;10;2023
7;KWANZA REAJUSTADO;AOR;29;10;2023
8;ARGENTINE PESO;ARS;69;10;2023
9;AUSTRALIAN DOLLAR;AUD;15432;10;2023
10;ARUBAN GUILDER;AWG;13497;10;2023
11;AZERBAIJANIAN MANAT;AZN;14132;10;2023
12;CONVERTIBLE MARKS;BAM;12986;10;2023
13;BARBADOS DOLLAR;BBD;12012;10;2023
14;TAKA;BDT;218;10;2023
15;LEV;BGN;12986;10;2023
16;BAHARAJNI DINAR;BHD;63221;10;2023
17;BURUNDI FRANC;BIF;9;10;2023
18;BERMUDIAN DOLLAR;BMD;24024;10;2023
19;BRUNEI DOLLAR;BND;17665;10;2023
20;BOLIVIANO;BOB;3502;10;2023
21;MVDOL;BOV;3502;10;2023
22;BRAZILIAN REAL;BRL;4889;10;2023
23;BAHAMIAN DOLLAR;BSD;24024;10;2023
24;NGULTRUM;BTN;289;10;2023
25;PULA;BWP;1730;10;2023
26;BELARUSIAN RUBLE;BYB;1;10;2023
27;BELIZE DOLLAR;BZD;12072;10;2023
28;CANADIAN DOLLAR;CAD;17717;10;2023
29;FRANC CONGOLAIS;CDF;10;10;2023
30;UNIDADES DE FOMENTO;CLF;27;10;2023
31;CHILEAN PESO;CLP;27;10;2023
32;YAN RENMINBI;CNY;3292;10;2023
33;COLOMBIAN PESO;COP;6;10;2023
34;COSTA RICAN COLON;CRC;45;10;2023
35;CZECH KORUNA;CZK;1045;10;2023
36;CUBAN PESO;CUP;1001;10;2023
37;CAPE VERDE ESCUDO;CVE;231;10;2023
38;CZECH KORUNA;CZK;1045;10;2023
39;SWISS FRANC;CHF;26987;10;2023
40;EAST GERMAN MARK;DDM;10822;10;2023
41;DEUTSCH MARK;DEM;10822;10;2023
42;DJIBOUTI FRANC;DJF;135;10;2023
43;DANISH KRONE;DKK;3463;10;2023
44;DOMINICAN PESO;DOP;424;10;2023
45;ALGERIAN DINAR;DZD;175;10;2023
46;SUCRE;ECS;1;10;2023
47;UNIDAD DE VALOR CONSTANTE(UVC);ECV;1;10;2023
48;EGYPTIAN POUND;EGP;779;10;2023
49;NAKFA;ERN;1602;10;2023
50;ETHIOPIAN BIRR;ETB;435;10;2023
51;EURO;EUR;25811;10;2023
52;FIJI DOLLAR;FJD;10400;10;2023
53;FALKLAND ISLANDS POUND;FKP;19855;10;2023
54;FRENCH FRANC;FRF;3233;10;2023
55;POUND STERLING;GBP;29999;10;2023
56;LARI;GEL;9066;10;2023
57;CEDI;GHC;3;10;2023
58;DALASI;GMD;371;10;2023
59;GUINEA FRANC;GNF;3;10;2023
60;QUETZAL;GTQ;3060;10;2023
61;GUINEA BISSAU PESO;GWP;0;10;2023
62;GUYANA DOLLAR;GYD;116;10;2023
63;GIBRALTAR POUND;GIP;19855;10;2023
64;HONGKONG DOLLAR;HKD;3065;10;2023
65;LEMPIRA;HNL;976;10;2023
66;KUNA;HRK;3413;10;2023
67;GOURDE;HTG;181;10;2023
68;FORINT;HUF;65;10;2023
69;RUPIAH;IDR;2;10;2023
70;NEW ISRAELI SHEKEL;ILS;6256;10;2023
71;INDIAN RUPEE;INR;289;10;2023
72;IRAQI DINAR;IQD;18;10;2023
73;IRANIAN RIAL;IRR;1;10;2023
74;ICELAND KRONA;ISK;176;10;2023
75;JAMACAN DOLLAR;JMD;157;10;2023
76;JORDANIAN DINAR;JOD;33837;10;2023
77;YEN;JPY;163;10;2023
78;KENYAN SHILING;KES;162;10;2023
79;SOM;KGS;271;10;2023
80;COMORO FRANC;KMF;51;10;2023
81;NORTH KOREAN WON;KPW;185;10;2023
82;WON;KRW;18;10;2023
83;KUWAITI DINAR;KWD;77497;10;2023
84;CAYMAN ISLANDS DOLLAR;KYD;28945;10;2023
85;TENGE;KZT;51;10;2023
86;RIEL;KHR;6;10;2023
87;KIP;LAK;1;10;2023
88;LIBIAN POUND;LBP;2;10;2023
89;SRILANCA RUPEE;LKR;74;10;2023
90;LIBERIAN DOLLAR;LRD;128;10;2023
91;LOTI;LSL;1269;10;2023
92;LITHUANIAN LITAS;LTL;8429;10;2023
93;LUXEMBOURG FRANC;LUF;526;10;2023
94;LEBANESE DINAR;LYD;4923;10;2023
95;MOROCCAN DIRHAM;MAD;2337;10;2023
96;MOLDOVAN LEU;MDL;1327;10;2023
97;MALAGASY ARIARY;MGA;5;10;2023
98;DENAR;MKD;415;10;2023
99;KYAT;MMK;11;10;2023
100;TUGRIK;MNT;7;10;2023
101;PATACA;MOP;2977;10;2023
102;OUGUIYA;MRO;67;10;2023
103;MAURITUS RUPEE;MUR;541;10;2023
104;RUFIYAA;MVR;1558;10;2023
105;KWACHA;MWK;22;10;2023
106;MAXICAN PESO;MXN;1372;10;2023
107;MEXUNIDAD DE INVERSIOR;MXV;1372;10;2023
108;MALAYSIAN RINGGIT;MYR;5143;10;2023
109;MOZAMBICAN METICAL;MZN;380;10;2023
110;NAMIBIA DOLLAR;NAD;1268;10;2023
111;CORDOBA ORO;NIO;664;10;2023
112;NORWEGIAN KRONE;NOK;2246;10;2023
113;NEPALESE RUPEE;NPR;181;10;2023
114;NEWZELAND DOLLAR;NZD;14208;10;2023
115;NAIRA;NGN;31;10;2023
116;RIAL OMANI;OMR;63221;10;2023
117;BALBOA;PAB;24024;10;2023
118;NUEVO SOL;PEN;6372;10;2023
119;KINA;PGK;6339;10;2023
120;PAKISTAN RUPEE;PKR;83;10;2023
121;ZLOTY;PLN;5658;10;2023
122;GUARANI;PYG;3;10;2023
123;PHILIPINE PESO;PHP;424;10;2023
124;QATARI RIAL;QAR;6582;10;2023
125;RÚP CHUYỂN NHƯỢNG;RCN;24024;10;2023
126;LEU;RON;5111;10;2023
127;RUSSIAN RUBLE (NEW);RUB;250;10;2023
128;RWANDA FRANC;RWF;20;10;2023
129;SAUDI RYAL;SAR;6406;10;2023
130;SOLOMON ISLANDS DOLLAR;SBD;2787;10;2023
131;SEYCHELLESS RUPEE;SCR;1852;10;2023
132;SUDANESE DINAR;SDD;120;10;2023
133;SDR;SDR;0;10;2023
134;SWEDISH KRONA;SEK;2172;10;2023
135;SINGAPORE DOLLAR;SGD;17649;10;2023
136;ST HELENA POUND;SHP;19692;10;2023
137;SLOVAKKORUNA;SKK;1115;10;2023
138;LEONE;SLL;1;10;2023
139;SOMA SHILING;SOS;42;10;2023
140;SURINAME DOLLAR;SRD;632;10;2023
141;DOBRA;STD;1;10;2023
142;EL SALVADOR COLON;SVC;2746;10;2023
143;SYRIAN POUND;SYP;2;10;2023
144;LILANGENI;SZL;1269;10;2023
145;TAJIK RUBLE;TJR;10;10;2023
146;MANAT;TMM;2;10;2023
147;TUNISIAN DINAR;TND;7579;10;2023
148;PAANGA;TOP;9846;10;2023
149;TRINIDAD &TOBACO DOLLAR;TTD;3559;10;2023
150;NEW TAIWAN DOLLAR;TWD;751;10;2023
151;TANZANIAN SHILLING;TZS;10;10;2023
152;BAHT;THB;674;10;2023
153;NEW TURKISH LIRA;TRY;895;10;2023
154;HRYVNIA;UAH;657;10;2023
155;UGANDA SHILING;UGX;6;10;2023
156;RUP XO VIET;USR;251;10;2023
157;PESO URUGUAYO;UYU;625;10;2023
158;UZBEKISTAN SUM;UZS;2;10;2023
159;BOLIVAR;VEF;0;10;2023
160;VATU;VUV;200;10;2023
161;TALA;WST;8429;10;2023
162;CFA FRANC BEAC;XAF;39;10;2023
163;EAST CARIBEAN DOLLAR;XCD;8931;10;2023
164;CFA FRANC BEAC;XAF;39;10;2023
165;CFP FRANC;XPF;214;10;2023
166;YEMENI RIAL;YER;96;10;2023
167;RAND;ZAD;1268;10;2023
168;RAND;ZAR;1268;10;2023
169;KWACHA;ZMK;5;10;2023
;ĐÔLA Mỹ ;USD;24024;10;2023
1;UAE DIRHAM;AED;6493;9;2023
2;AFGHAN AFGHANI;AFN;295;9;2023
5;LEK;ALL;242;9;2023
4;ARMENIAN DRAM;AMD;62;9;2023
5;NETHANTILLIAN GUILDER;ANG;13413;9;2023
6;ANGOLAN KWANZA;AOA;29;9;2023
7;KWANZA REAJUSTADO;AOR;29;9;2023
8;ARGENTINE PESO;ARS;68;9;2023
9;AUSTRALIAN DOLLAR;AUD;15558;9;2023
10;ARUBAN GUILDER;AWG;13413;9;2023
11;AZERBAIJANIAN MANAT;AZN;14045;9;2023
12;CONVERTIBLE MARKS;BAM;13339;9;2023
13;BARBADOS DOLLAR;BBD;11938;9;2023
14;TAKA;BDT;219;9;2023
15;LEV;BGN;13339;9;2023
16;BAHARAINI DINAR;BHD;62832;9;2023
17;BURUNDI FRANC;BIF;8;9;2023
18;BERMUDIAN DOLLAR;BMD;23876;9;2023
19;BRUNEI DOLLAR;BND;17686;9;2023
20;BOLIVIANO;BOB;3486;9;2023
21;MVDOL;BOV;3486;9;2023
22;BRAZILIAN REAL;BRL;4874;9;2023
23;BAHAMIAN DOLLAR;BSD;23876;9;2023
24;NGULTRUM;BTN;289;9;2023
25;PULA;BWP;1771;9;2023
26;BELARUSIAN RUBLE;BYB;1;9;2023
27;BELIZE DOLLAR;BZD;11998;9;2023
28;CANADIAN DOLLAR;CAD;17767;9;2023
29;FRANC CONGOLAIS;CDF;10;9;2023
30;UNIDADES DE FOMENTO;CLF;28;9;2023
31;CHILEAN PESO;CLP;28;9;2023
32;YAN RENMINBI;CNY;3296;9;2023
33;COLOMBIAN PESO;COP;6;9;2023
34;COSTA RICAN COLON;CRC;44;9;2023
35;CZECH KORUNA;CZK;1083;9;2023
36;CUBAN PESO;CUP;995;9;2023
37;CAPE VERDE ESCUDO;CVE;236;9;2023
38;CZECH KORUNA;CZK;1083;9;2023
39;SWISS FRANC;CHF;27234;9;2023
40;EAST GERMAN MARK;DDM;10755;9;2023
41;DEUTSCH MARK;DEM;10755;9;2023
42;DJIBOUTI FRANC;DJF;134;9;2023
43;DANISH KRONE;DKK;3502;9;2023
44;DOMINICAN PESO;DOP;421;9;2023
45;ALGERIAN DINAR;DZD;176;9;2023
46;SUCRE;ECS;1;9;2023
47;UNIDAD DE VALOR CONSTANTE(UVC);ECV;1;9;2023
48;EGYPTIAN POUND;EGP;774;9;2023
49;NAKFA;ERN;1592;9;2023
50;ETHIOPIAN BIRR;ETB;434;9;2023
51;EURO;EUR;26094;9;2023
52;FIJI DOLLAR;FJD;10426;9;2023
53;FALKLAND ISLANDS POUND;FKP;18949;9;2023
54;FRENCH FRANC;FRF;3213;9;2023
55;POUND STERLING;GBP;30429;9;2023
56;LARI;GEL;9148;9;2023
57;CEDI;GHC;3;9;2023
58;DALASI;GMD;379;9;2023
59;GUINEA FRANC;GNF;3;9;2023
60;QUETZAL;GTQ;3042;9;2023
61;GUINEA BISSAU PESO;GWP;0;9;2023
62;GUYANA DOLLAR;GYD;115;9;2023
63;GIBRALTAR POUND;GIP;18949;9;2023
64;HONGKONG DOLLAR;HKD;3050;9;2023
65;LEMPIRA;HNL;972;9;2023
66;KUNA;HRK;3391;9;2023
67;GOURDE;HTG;177;9;2023
68;FORINT;HUF;69;9;2023
69;RUPIAH;IDR;2;9;2023
70;NEW ISRAELI SHEKEL;ILS;6316;9;2023
71;INDIAN RUPEE;INR;288;9;2023
72;IRAQI DINAR;IQD;18;9;2023
73;IRANIAN RIAL;IRR;1;9;2023
74;ICELAND KRONA;ISK;183;9;2023
75;JAMACAN DOLLAR;JMD;155;9;2023
76;JORDANIAN DINAR;JOD;33628;9;2023
77;YEN;JPY;166;9;2023
78;KENYAN SHILING;KES;164;9;2023
79;SOM;KGS;271;9;2023
80;COMORO FRANC;KMF;53;9;2023
81;NORTH KOREAN WON;KPW;184;9;2023
82;WON;KRW;18;9;2023
83;KUWAITI DINAR;KWD;77019;9;2023
84;CAYMAN ISLANDS DOLLAR;KYD;28766;9;2023
85;TENGE;KZT;52;9;2023
86;RIEL;KHR;6;9;2023
87;KIP;LAK;1;9;2023
88;LIBIAN POUND;LBP;2;9;2023
89;SRILANCA RUPEE;LKR;75;9;2023
90;LIBERIAN DOLLAR;LRD;129;9;2023
91;LOTI;LSL;1277;9;2023
92;LITHUANIAN LITAS;LTL;8378;9;2023
93;LUXEMBOURG FRANC;LUF;523;9;2023
94;LEBANESE DINAR;LYD;4964;9;2023
95;MOROCCAN DIRHAM;MAD;2357;9;2023
96;MOLDOVAN LEU;MDL;1346;9;2023
97;MALAGASY ARIARY;MGA;5;9;2023
98;DENAR;MKD;425;9;2023
99;KYAT;MMK;11;9;2023
100;TUGRIK;MNT;7;9;2023
101;PATACA;MOP;2963;9;2023
102;OUGUIYA;MRO;67;9;2023
103;MAURITUS RUPEE;MUR;527;9;2023
104;RUFIYAA;MVR;1548;9;2023
105;KWACHA;MWK;23;9;2023
106;MAXICAN PESO;MXN;1425;9;2023
107;MEXUNIDAD DE INVERSIOR;MXV;1425;9;2023
108;MALAYSIAN RINGGIT;MYR;5187;9;2023
109;MOZAMBICAN METICAL;MZN;378;9;2023
110;NAMIBIA DOLLAR;NAD;1276;9;2023
111;CORDOBA ORO;NIO;660;9;2023
112;NORWEGIAN KRONE;NOK;2301;9;2023
113;NEPALESE RUPEE;NPR;180;9;2023
114;NEWZELAND DOLLAR;NZD;14398;9;2023
115;NAIRA;NGN;31;9;2023
116;RIAL OMANI;OMR;62832;9;2023
117;BALBOA;PAB;23876;9;2023
118;NUEVO SOL;PEN;6488;9;2023
119;KINA;PGK;6418;9;2023
120;PAKISTAN RUPEE;PKR;79;9;2023
121;ZLOTY;PLN;5854;9;2023
122;GUARANI;PYG;3;9;2023
123;PHILIPINE PESO;PHP;421;9;2023
124;QATARI RIAL;QAR;6559;9;2023
125;RUP CHUYỂN NHƯỢNG;RCN;23876;9;2023
126;LEU;RON;5282;9;2023
127;RUSSIAN RUBLE (NEW);RUB;252;9;2023
128;RWANDA FRANC;RWF;20;9;2023
129;SAUDI RYAL;SAR;6367;9;2023
130;SOLOMON ISLANDS DOLLAR;SBD;2674;9;2023
131;SEYCHELLESS RUPEE;SCR;1725;9;2023
132;SUDANESE DINAR;SDD;119;9;2023
133;SDR;SDR;0;9;2023
134;SWEDISH KRONA;SEK;2222;9;2023
135;SINGAPORE DOLLAR;SGD;17698;9;2023
136;ST HELENA POUND;SHP;18800;9;2023
137;SLOVAKKORUNA;SKK;1108;9;2023
138;LEONE;SLL;1;9;2023
139;SOMA SIBLING;SOS;42;9;2023
140;SURINAME DOLLAR;SRD;632;9;2023
141;DOBRA;STD;1;9;2023
142;EL SALVADOR COLON;SVC;2729;9;2023
143;SYRIAN POUND;SYP;2;9;2023
144;LILANGENI;SZL;1276;9;2023
145;TAJIK RUBLE;TJR;10;9;2023
146;MANAT;TMM;2;9;2023
147;TUNISIAN DINAR;TND;7727;9;2023
148;PAANGA;TOP;9826;9;2023
149;TRINIDAD &TOBACO DOLLAR;TTD;3532;9;2023
150;NEW TAIWAN DOLLAR;TWD;751;9;2023
151;TANZANIAN SHILLING;TZS;10;9;2023
152;BAHT;THB;684;9;2023
153;NEW TURKISH LIRA;TRY;882;9;2023
154;HRYVNIA;UAH;647;9;2023
155;UGANDA SMILING;UGX;6;9;2023
156;RUP XO VIET;USR;251;9;2023
157;PESO URUGUAYO;UYU;632;9;2023
158;UZBEKISTAN SUM;UZS;2;9;2023
159;BOLIVAR;VEF;0;9;2023
160;VATU;VUV;200;9;2023
161;TALA;WST;8407;9;2023
162;CFA FRANC BEAC;XAF;40;9;2023
163;EAST CARIBEAN DOLLAR;XCD;8843;9;2023
164;CFA FRANC BEAC;XAF;40;9;2023
165;CFP FRANC;XPF;219;9;2023
166;YEMENI RIAL;YER;96;9;2023
167;RAND;ZAD;1276;9;2023
168;RAND;ZAR;1276;9;2023
169;KWACHA;ZMK;5;9;2023
;ĐÔLA Mỹ ;USD;23876;9;2023
1;UAE DIRHAM;AED;6469;8;2023
2;AFGHAN AFGHANI;AFN;278;8;2023
3;LEK;ALL;249;8;2023
4;ARMENIAN DRAM;AMD;62;8;2023
5;NETHANTILLIAN GUILDER;ANG;13350;8;2023
6;ANGOLAN KWANZA;AOA;29;8;2023
7;KWANZA REAJUSTADO;AOR;29;8;2023
8;ARGENTINE PESO;ARS;87;8;2023
9;AUSTRALIAN DOLLAR;AUD;15962;8;2023
10;ARUBAN GUILDER;AWG;13350;8;2023
11;AZERBAIJANIAN MANAT;AZN;13978;8;2023
12;CONVERTIBLE MARKS;BAM;13350;8;2023
13;BARBADOS DOLLAR;BBD;11882;8;2023
14;TAKA;BDT;219;8;2023
15;LEV;BGN;13350;8;2023
16;BAHARAINI DINAR;BHD;62535;8;2023
17;BURUNDI FRANC;BIF;8;8;2023
18;BERMUDIAN DOLLAR;BMD;23763;8;2023
19;BRUNEI DOLLAR;BND;17867;8;2023
20;BOLIVIANO;BOB;3464;8;2023
21;MVDOL;BOV;3464;8;2023
22;BRAZILIAN REAL;BRL;4930;8;2023
23;BAHAMIAN DOLLAR;BSD;23763;8;2023
24;NGULTRUM;BTN;289;8;2023
25;PULA;BWP;1815;8;2023
26;BELARUSIAN RUBLE;BYB;1;8;2023
27;BELIZE DOLLAR;BZD;11941;8;2023
28;CANADIAN DOLLAR;CAD;17995;8;2023
29;FRANC CONGOLAIS;CDF;10;8;2023
30;UNIDADES DE FOMENTO;CLF;29;8;2023
31;CHILEAN PESO;CLP;29;8;2023
32;YAN RENMINBI;CNY;3297;8;2023
33;COLOMBIAN PESO;COP;6;8;2023
34;COSTA RICAN COLON;CRC;44;8;2023
35;CZECH KORUNA;CZK;1093;8;2023
36;CUBAN PESO;CUP;990;8;2023
37;CAPE VERDE ESCUDO;CVE;237;8;2023
38;CZECH KORUNA;CZK;1093;8;2023
39;SWISS FRANC;CHF;27048;8;2023
40;EAST GERMAN MARK;DDM;10704;8;2023
41;DEUTSCH MARK;DEM;10704;8;2023
42;DJIBOUTI FRANC;DJF;134;8;2023
43;DANISH KRONE;DKK;3518;8;2023
44;DOMINICAN PESO;DOP;425;8;2023
45;ALGERIAN DINAR;DZD;175;8;2023
46;SUCRE;ECS;1;8;2023
47;UNIDAD DE VALOR CONSTANTE (UVC);ECV;1;8;2023
48;EGYPTIAN POUND;EGP;770;8;2023
49;NAKFA;ERN;1584;8;2023
50;ETHIOPIAN BIRR;ETB;434;8;2023
51;EURO;EUR;26206;8;2023
52;FIJI DOLLAR;FJD;10377;8;2023
53;FALKLAND ISLANDS POUND;FKP;18421;8;2023
54;FRENCH TRANC;FRF;3198;8;2023
55;POUND STERLING;GBP;30570;8;2023
56;LARI;GEL;9283;8;2023
57;CEDI;GHC;3;8;2023
58;DALASI;GMD;393;8;2023
59;GUINEA TRANC;GNF;3;8;2023
60;QUETZAL;GTQ;3027;8;2023
61;GUINEA BISSAU PESO;GWP;0;8;2023
62;GUYANA DOLLAR;GYD;114;8;2023
63;GIBRALTAR POUND;GIP;18565;8;2023
64;HONGKONG DOLLAR;HKD;3038;8;2023
65;LEMPIRA;HNL;968;8;2023
66;KUNA;HRK;3375;8;2023
67;GOURDE;HTG;176;8;2023
68;FORINT;HUF;68;8;2023
69;RUPIAH;IDR;2;8;2023
70;NEW ISRAELI SHEKEL;ELS;6440;8;2023
71;INDIAN RUPEE;INR;289;8;2023
72;IRAQI DINAR;IQD;18;8;2023
73;IRANIAN RIAL;IRR;1;8;2023
74;ICELAND KRONA;ISK;181;8;2023
75;JAMACAN DOLLAR;JMD;155;8;2023
